,index,molecule_chembl_id,canonical_smiles,standard_value,class,standard_value_norm,pIC50,MolWt,MolLogP,NumHDonors,NumHAcceptors
0,0,CHEMBL217926,O=C(Nc1ccccc1)C1CC(=O)N(C2CCCCC2)C1,10660.0,inactive,10660.0,4.972242795309446,286.37500000000006,2.806300000000001,1.0,2.0
1,1,CHEMBL216547,O=C(Nc1ccccc1Br)C1CC(=O)N(C2CCCCC2)C1,100000.0,inactive,100000.0,4.0,365.2710000000002,3.568800000000002,1.0,2.0
2,2,CHEMBL213720,O=C(Nc1ccc2c(c1)OCCO2)C1CC(=O)N(C2CCCCC2)C1,100000.0,inactive,100000.0,4.0,344.4110000000002,2.5775000000000006,1.0,4.0
3,3,CHEMBL217274,Cc1cccc(C)c1NC(=O)C1CC(=O)N(C2CCCCC2)C1,100000.0,inactive,100000.0,4.0,314.4290000000002,3.423140000000002,1.0,2.0
4,4,CHEMBL217773,O=C(Nc1ccc(Oc2ccccc2)cc1)C1CC(=O)N(C2CCCCC2)C1,100000.0,inactive,100000.0,4.0,378.47200000000026,4.598600000000004,1.0,3.0
5,5,CHEMBL217273,CCOc1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,100000.0,inactive,100000.0,4.0,330.4280000000001,3.205000000000002,1.0,3.0
6,6,CHEMBL216781,CC(=O)Nc1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,75000.0,inactive,75000.0,4.1249387366083,343.4270000000002,2.7647000000000013,2.0,3.0
7,7,CHEMBL265016,O=C(Nc1ccc(Cl)cc1)C1CC(=O)N(C2CCCCC2)C1,100000.0,inactive,100000.0,4.0,320.82000000000016,3.4597000000000024,1.0,2.0
8,8,CHEMBL217524,O=C(Nc1ccc(F)c(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,14830.0,inactive,14830.0,4.828858848971618,338.81000000000023,3.5988000000000024,1.0,2.0
9,9,CHEMBL384149,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,1600.0,intermediate,1600.0,5.795880017344075,350.84600000000023,3.468300000000002,1.0,3.0
10,10,CHEMBL216339,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,3670.0,intermediate,3670.0,5.43533393574791,422.3690000000003,4.843900000000003,1.0,2.0
11,11,CHEMBL216704,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,1300.0,intermediate,1300.0,5.886056647693163,384.398,3.833700000000003,1.0,3.0
12,12,CHEMBL386324,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,850.0,active,850.0,6.070581074285707,433.2680000000003,4.587600000000004,1.0,2.0
13,13,CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,390.0,active,390.0,6.4089353929735005,355.2650000000002,4.113100000000003,1.0,2.0
14,14,CHEMBL385294,O=C(Nc1cc(F)cc(F)c1)C1CC(=O)N(C2CCCCC2)C1,1490.0,intermediate,1490.0,5.826813731587726,322.3550000000002,3.084500000000002,1.0,2.0
15,15,CHEMBL217617,Cc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,31370.0,inactive,31370.0,4.503485481302255,345.3990000000002,3.022920000000001,1.0,4.0
16,16,CHEMBL444361,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,23120.0,inactive,23120.0,4.636012170251509,334.8470000000002,3.7681200000000024,1.0,2.0
17,17,CHEMBL387186,Cc1cc(C)cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,3140.0,intermediate,3140.0,5.503070351926785,314.42900000000014,3.423140000000002,1.0,2.0
18,18,CHEMBL216887,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,10050.0,inactive,10050.0,4.997833938243493,314.42900000000014,3.423140000000002,1.0,2.0
19,19,CHEMBL216748,Cc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)ccc1Br,37410.0,inactive,37410.0,4.427012291801795,379.298,3.877220000000003,1.0,2.0
20,20,CHEMBL425259,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,970.0,active,970.0,6.013228265733755,334.84700000000026,3.7681200000000024,1.0,2.0
21,21,CHEMBL215081,O=C(Nc1cc(Cl)ccc1Cl)C1CC(=O)N(C2CCCCC2)C1,56500.0,inactive,56500.0,4.247951552180561,355.2650000000002,4.113100000000003,1.0,2.0
22,22,CHEMBL217144,O=C(Nc1ccc(Cl)cc1Cl)C1CC(=O)N(C2CCCCC2)C1,56020.0,inactive,56020.0,4.2516568955124505,355.2650000000002,4.113100000000003,1.0,2.0
23,23,CHEMBL217272,CC(=O)c1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,73580.0,inactive,73580.0,4.133240216504892,328.4120000000001,3.0089000000000015,1.0,3.0
